,full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college
212,Wayne Ellington,75,2,New York Knicks,G,1987-11-29,1.93,90.7,8000000,USA,2009,1,28,North Carolina
213,Bryn Forbes,75,11,San Antonio Spurs,G,1993-07-23,1.88,84.8,2875000,USA,2016,Undrafted,Undrafted,Michigan State
214,Josh Hart,75,3,New Orleans Pelicans,G,1995-03-06,1.96,92.5,1934160,USA,2017,1,30,Villanova
215,John Henson,75,31,Detroit Pistons,F,1990-12-28,2.06,99.8,9732396,USA,2012,1,14,North Carolina
217,George Hill,75,3,Milwaukee Bucks,G,1986-05-04,1.91,81.6,10133907,USA,2008,1,26,IUPUI
218,Rondae Hollis-Jefferson,75,4,Toronto Raptors,F,1995-01-03,1.98,95.7,2500000,USA,2015,1,23,Arizona
219,Richaun Holmes,75,22,Sacramento Kings,F,1993-10-15,2.08,110.2,4767000,USA,2015,2,37,Bowling Green
220,James Johnson,75,0,Minnesota Timberwolves,F,1987-02-20,2.01,111.1,15349400,USA,2009,1,16,Wake Forest
221,Luke Kennard,75,5,Detroit Pistons,G,1996-06-24,1.96,88.9,3827160,USA,2017,1,12,Duke
222,Kyle Korver,75,26,Milwaukee Bucks,F,1981-03-17,2.01,96.2,6004753,USA,2003,2,51,Creighton
224,Jake Layman,75,10,Minnesota Timberwolves,F,1994-03-07,2.03,94.8,3581986,USA,2016,2,47,Maryland
225,Robin Lopez,75,42,Milwaukee Bucks,C,1988-04-01,2.13,115.7,4767000,USA,2008,1,15,Stanford
226,Trey Lyles,75,41,San Antonio Spurs,F,1995-11-05,2.06,109.3,5500000,Canada,2015,1,12,Kentucky
228,TJ McConnell,75,9,Indiana Pacers,G,1992-03-25,1.85,90.7,3500000,USA,2015,Undrafted,Undrafted,Arizona
229,Patrick Mills,75,8,San Antonio Spurs,G,1988-08-11,1.85,83.9,12678571,Australia,2009,2,55,Saint Mary's
230,Malik Monk,75,1,Charlotte Hornets,G,1998-02-04,1.91,89.4,4028400,USA,2017,1,11,Kentucky
231,Markieff Morris,75,88,Los Angeles Lakers,F,1989-09-02,2.03,111.1,3709887,USA,2011,1,13,Kansas
232,Shabazz Napier,75,0,Washington Wizards,G,1991-07-14,1.83,79.4,1845301,USA,2014,1,24,UConn
235,Mike Scott,75,1,Philadelphia 76ers,F,1988-07-16,2.01,107.5,4767000,USA,2012,2,43,Virginia
236,Noah Vonleh,75,0,Denver Nuggets,F,1995-08-24,2.08,112.0,2000000,USA,2014,1,9,Indiana
239,Kyle Anderson,74,1,Memphis Grizzlies,F,1993-09-20,2.06,104.3,9073050,USA,2014,1,30,UCLA
240,Jordan Bell,74,0,Cleveland Cavaliers,F-C,1995-01-07,2.03,101.6,1870564,USA,2017,2,38,Oregon
241,Khem Birch,74,24,Orlando Magic,C,1992-09-28,2.06,94.8,3000000,Canada,2014,Undrafted,Undrafted,UNLV
242,Dillon Brooks,74,24,Memphis Grizzlies,G-F,1996-01-22,2.01,102.1,1618520,Canada,2017,2,45,Oregon
243,Reggie Bullock,74,25,New York Knicks,G,1991-03-16,1.98,90.7,4000000,USA,2013,1,25,North Carolina
244,Zach Collins,74,33,Portland Trail Blazers,C,1997-11-17,2.11,105.2,4240200,USA,2017,1,10,Gonzaga
245,Pat Connaughton,74,24,Milwaukee Bucks,G,1993-01-06,1.96,97.5,1723050,USA,2015,2,41,Notre Dame
246,Quinn Cook,74,2,Los Angeles Lakers,G,1993-03-23,1.85,81.6,3000000,USA,2015,Undrafted,Undrafted,Duke
247,Torrey Craig,74,3,Denver Nuggets,G,1990-12-19,2.01,97.5,2000000,USA,2014,Undrafted,Undrafted,USC Upstate
248,Seth Curry,74,30,Dallas Mavericks,G,1990-08-23,1.88,81.6,7461380,USA,2013,Undrafted,Undrafted,Duke
249,Cheick Diallo,74,14,Phoenix Suns,F-C,1996-09-13,2.03,99.3,1678854,Mali,2016,2,33,Kansas
250,Yogi Ferrell,74,3,Sacramento Kings,G,1993-05-09,1.83,80.7,3150000,USA,2016,Undrafted,Undrafted,Indiana
251,Markelle Fultz,74,20,Orlando Magic,G,1998-05-29,1.91,88.5,9745200,USA,2017,1,1,Washington
252,Harry Giles,74,20,Sacramento Kings,F-C,1998-04-22,2.11,105.2,2578800,USA,2017,1,20,Duke
253,Moe Harkless,74,0,New York Knicks,F,1993-05-11,2.01,94.3,11011234,USA,2012,1,15,St. John's
254,Justin Jackson,74,44,Dallas Mavericks,F-G,1995-03-28,2.01,91.2,3280920,USA,2017,1,15,North Carolina
255,Tyler Johnson,74,0,Brooklyn Nets,G,1992-05-07,1.91,84.4,19428485,USA,2014,Undrafted,Undrafted,Fresno State
256,Derrick Jones,74,5,Miami Heat,F,1997-02-15,1.98,88.5,1645357,USA,2016,Undrafted,Undrafted,UNLV
257,Cory Joseph,74,9,Sacramento Kings,G,1991-08-20,1.91,83.9,12000000,Canada,2011,1,29,Texas
259,TJ Leaf,74,22,Indiana Pacers,F-C,1997-04-30,2.08,100.7,2813280,Israel,2017,1,18,UCLA
260,Doug McDermott,74,20,Indiana Pacers,F,1992-01-03,2.01,98.9,7333333,USA,2014,1,11,Creighton
261,E'Twaun Moore,74,55,New Orleans Pelicans,G,1989-02-25,1.91,86.6,8664928,USA,2011,2,55,Purdue
262,Joakim Noah,74,0,Los Angeles Clippers,C,1985-02-25,2.11,103.0,6813026,USA,2007,1,9,Florida
263,Kyle O'Quinn,74,9,Philadelphia 76ers,F-C,1990-03-26,2.06,108.9,2174318,USA,2012,2,49,Norfolk State
265,Norman Powell,74,24,Toronto Raptors,G,1993-05-25,1.91,97.5,10116576,USA,2015,2,46,UCLA
267,Glenn Robinson III,74,22,Golden State Warriors,F,1994-01-08,1.98,95.7,1882867,USA,2014,2,40,Michigan
268,Denzel Valentine,74,45,Chicago Bulls,G,1993-11-16,1.93,95.3,3377568,USA,2016,1,14,Michigan State
269,Robert Williams,74,44,Boston Celtics,F-C,1997-10-17,2.03,107.5,1937520,USA,2018,1,27,Texas A&M
270,Christian Wood,74,35,Detroit Pistons,F,1995-09-27,2.08,98.0,1645357,USA,2015,Undrafted,Undrafted,UNLV
271,Jaxson Hayes,74,10,New Orleans Pelicans,F-C,2000-05-23,2.11,99.8,4862040,USA,2019,1,8,Texas
272,Rui Hachimura,74,8,Washington Wizards,F,1998-02-08,2.03,102.1,4469160,Japan,2019,1,9,Gonzaga
273,OG Anunoby,73,3,Toronto Raptors,F-G,1997-07-17,2.01,105.2,2281800,United Kingdom,2017,1,23,Indiana
274,Dwayne Bacon,73,7,Charlotte Hornets,G,1995-08-30,1.98,99.8,1618520,USA,2017,2,40,Florida State
275,DeAndre Bembry,73,95,Atlanta Hawks,F,1994-07-04,1.96,93.9,2603981,USA,2016,1,21,Saint Joseph's
276,Jonah Bolden,73,0,Phoenix Suns,F,1996-01-02,2.03,97.5,1788296,Australia,2017,2,36,UCLA
277,Sterling Brown,73,23,Milwaukee Bucks,G,1995-02-10,1.96,104.3,1618520,USA,2017,2,46,SMU
278,Bruce Brown,73,6,Detroit Pistons,G,1996-08-15,1.93,86.2,1416852,USA,2018,2,42,Miami (Florida)
279,Troy Brown,73,6,Washington Wizards,F-G,1999-07-28,1.98,97.5,3219480,USA,2018,1,15,Oregon
280,Alec Burks,73,0,Philadelphia 76ers,G,1991-07-20,1.98,88.5,2320044,USA,2011,1,12,Colorado
281,Alex Caruso,73,4,Los Angeles Lakers,G,1994-02-28,1.96,84.4,2750000,USA,2016,Undrafted,Undrafted,Texas A&M
284,Matthew Dellavedova,73,18,Cleveland Cavaliers,G,1990-09-08,1.91,86.2,9607500,Australia,2013,Undrafted,Undrafted,Saint Mary's
285,James Ennis,73,0,Orlando Magic,F,1990-07-01,1.98,91.2,1882867,USA,2013,2,50,Long Beach State
286,Dorian Finney-Smith,73,10,Dallas Mavericks,F,1993-05-04,2.01,96.6,4000000,USA,2016,Undrafted,Undrafted,Florida
287,Shaquille Harrison,73,3,Chicago Bulls,G,1993-10-06,2.01,86.2,1620564,USA,2016,Undrafted,Undrafted,Tulsa
288,Aaron Holiday,73,3,Indiana Pacers,G,1996-09-30,1.83,83.9,2239200,USA,2018,1,23,UCLA
289,Danuel House,73,4,Houston Rockets,F,1993-06-07,1.98,99.8,3540000,USA,2016,Undrafted,Undrafted,Texas A&M
290,Stanley Johnson,73,5,Toronto Raptors,F,1996-05-29,1.98,109.8,3623000,USA,2015,1,8,Arizona
291,Tyus Jones,73,21,Memphis Grizzlies,G,1996-05-10,1.83,83.9,10116000,USA,2015,1,24,Duke
295,Mike Muscala,73,33,Oklahoma City Thunder,F-C,1991-07-01,2.08,104.3,2028594,USA,2013,2,44,Bucknell
297,David Nwaba,73,0,Houston Rockets,G,1993-01-14,1.96,95.3,2581965,USA,2016,Undrafted,Undrafted,Cal Poly
298,Royce O'Neale,73,23,Utah Jazz,F,1993-06-05,1.93,102.5,1618520,USA,2015,Undrafted,Undrafted,Baylor
299,Semi Ojeleye,73,37,Boston Celtics,F,1994-12-05,1.98,106.6,1618520,USA,2017,2,37,SMU
300,Josh Okogie,73,20,Minnesota Timberwolves,G,1998-09-01,1.93,96.6,2530680,Nigeria,2018,1,20,Georgia Tech
302,Ishmael Smith,73,14,Washington Wizards,G,1988-07-05,1.83,79.4,6000000,USA,2010,Undrafted,Undrafted,Wake Forest
303,Tony Snell,73,17,Detroit Pistons,F,1991-11-10,1.98,89.8,11392857,USA,2013,1,20,New Mexico
304,Omari Spellman,73,0,Minnesota Timberwolves,F,1997-07-21,2.03,111.1,1897800,USA,2018,1,30,Villanova
305,Garrett Temple,73,17,Brooklyn Nets,G-F,1986-05-08,1.96,88.5,4767000,USA,2009,Undrafted,Undrafted,LSU
306,Evan Turner,73,1,Minnesota Timberwolves,G-F,1988-10-27,1.98,93.0,18606556,USA,2010,1,2,Ohio State
307,Lonnie Walker,73,1,San Antonio Spurs,G,1998-12-14,1.96,92.5,2764200,USA,2018,1,18,Miami (Florida)
308,Brad Wanamaker,73,9,Boston Celtics,G,1989-07-25,1.91,95.3,1445697,USA,2011,Undrafted,Undrafted,Pittsburgh
310,Tyler Herro,73,14,Miami Heat,G,2000-01-20,1.96,88.5,3640200,USA,2019,1,13,Kentucky
313,Brandon Clarke,73,15,Memphis Grizzlies,F,1996-09-19,2.03,97.5,2478840,Canada,2019,1,21,Gonzaga
315,Nassir Little,73,9,Portland Trail Blazers,F,2000-02-11,1.96,99.8,2105520,USA,2019,1,25,North Carolina
316,Grayson Allen,72,3,Memphis Grizzlies,G,1995-10-08,1.93,93.0,2429400,USA,2018,1,21,Duke
318,Michael Carter-Williams,72,7,Orlando Magic,G,1991-10-10,1.96,83.5,2028594,USA,2013,1,11,Syracuse
319,Troy Daniels,72,30,Denver Nuggets,G,1991-07-15,1.93,90.7,2487033,USA,2013,Undrafted,Undrafted,VCU
320,Donte DiVincenzo,72,0,Milwaukee Bucks,G,1997-01-31,1.93,93.0,2905800,USA,2018,1,17,Villanova
321,Jared Dudley,72,10,Los Angeles Lakers,F,1985-07-10,1.98,102.1,2564753,USA,2007,1,22,Boston College
324,Langston Galloway,72,9,Detroit Pistons,G,1991-12-09,1.85,91.6,7333333,USA,2014,Undrafted,Undrafted,Saint Joseph's
325,Justin Holiday,72,8,Indiana Pacers,G,1989-04-05,1.98,81.6,4767000,USA,2011,Undrafted,Undrafted,Washington
326,Chandler Hutchison,72,15,Chicago Bulls,F,1996-04-26,2.01,88.9,2332320,USA,2018,1,22,Boise State
327,Wesley Iwundu,72,25,Orlando Magic,F,1994-12-20,1.98,93.0,1618520,USA,2017,2,33,Kansas State
328,Brandon Knight,72,0,Detroit Pistons,G,1991-12-02,1.88,85.7,15643750,USA,2011,1,8,Kentucky
329,Courtney Lee,72,1,Dallas Mavericks,G-F,1985-10-03,1.96,90.7,12759670,USA,2008,1,22,Western Kentucky
331,Patrick McCaw,72,22,Toronto Raptors,G,1995-10-25,2.01,82.1,4000000,USA,2016,2,38,UNLV
332,Rodney McGruder,72,19,Los Angeles Clippers,G,1991-07-29,1.93,93.0,4807693,USA,2013,Undrafted,Undrafted,Kansas State
333,Darius Miller,72,21,New Orleans Pelicans,F,1990-03-21,1.98,102.1,7250000,USA,2012,2,46,Kentucky
335,Georges Niang,72,31,Utah Jazz,F,1993-06-17,2.01,104.3,1645357,USA,2016,2,50,Iowa State
336,Cameron Payne,72,0,Phoenix Suns,G,1994-08-08,1.88,81.6,346288,USA,2015,1,14,Murray State
338,Zhaire Smith,72,8,Philadelphia 76ers,G-F,1999-06-04,1.91,93.0,3058800,USA,2018,1,16,Texas Tech
339,Anthony Tolliver,72,0,Memphis Grizzlies,F,1985-06-01,2.03,108.9,2854556,USA,2007,Undrafted,Undrafted,Creighton
340,DJ Wilson,72,5,Milwaukee Bucks,F,1996-02-19,2.08,106.1,2961120,USA,2017,1,17,Michigan
341,Alfonzo McKinnie,72,0,Cleveland Cavaliers,F,1992-09-17,2.03,97.5,2391985,USA,2015,Undrafted,Undrafted,Green Bay
342,Romeo Langford,72,45,Boston Celtics,G,1999-10-25,1.93,98.0,3458400,USA,2019,1,14,Indiana
343,Grant Williams,72,12,Boston Celtics,F,1998-11-30,1.98,107.0,2379840,USA,2019,1,22,Tennessee
344,Nicolas Claxton,72,0,Brooklyn Nets,C,1990-04-17,2.11,97.5,898310,USA,2019,2,31,Georgia
345,PJ Washington,72,25,Charlotte Hornets,F,1998-08-23,2.01,102.1,3831840,USA,2019,1,12,Kentucky
346,Ryan Arcidiacono,72,51,Chicago Bulls,G,1994-03-26,1.91,88.5,3000000,Italy,2016,Undrafted,Undrafted,Villanova
347,Kevin Porter,72,4,Cleveland Cavaliers,G-F,2000-05-04,1.93,98.9,1290960,USA,2019,1,30,USC
348,Ryan Broekhoff,72,0,Philadelphia 76ers,F,1990-08-23,1.98,97.5,2833704,Australia,2013,Undrafted,Undrafted,Valparaiso
350,De'Anthony Melton,72,0,Memphis Grizzlies,G,1998-05-28,1.88,86.2,1416852,USA,2018,2,46,USC
351,Kenrich Williams,72,34,New Orleans Pelicans,G-F,1994-12-02,1.98,95.3,1416852,USA,2018,Undrafted,Undrafted,TCU
352,Nickeil Alexander-Walker,72,0,New Orleans Pelicans,G,1998-09-02,1.96,93.0,2964840,Canada,2019,1,17,Virginia Tech
354,Matisse Thybulle,72,22,Philadelphia 76ers,G-F,1997-03-04,1.96,91.2,2582160,USA,2019,1,20,Washington
355,Cameron Johnson,72,23,Phoenix Suns,F,1996-03-03,2.03,95.3,4033440,USA,2019,1,11,North Carolina
356,Ty Jerome,72,10,Phoenix Suns,G,1997-07-08,1.96,88.5,2193480,USA,2019,1,24,Virginia
358,Keldon Johnson,72,3,San Antonio Spurs,F,1999-10-11,1.96,95.7,1950600,USA,2019,1,29,Kentucky
359,Matt Thomas,72,21,Toronto Raptors,G,1994-08-04,1.93,89.4,898310,USA,2017,Undrafted,Undrafted,Iowa State
360,Chris Boucher,71,25,Toronto Raptors,F-C,1993-01-11,2.06,90.7,1588231,Canada,2017,Undrafted,Undrafted,Oregon
361,Jevon Carter,71,4,Phoenix Suns,G,1995-09-14,1.85,90.7,1416852,USA,2018,2,32,West Virginia
363,Jacob Evans,71,0,Minnesota Timberwolves,G,1997-06-18,1.93,95.3,1925880,USA,2018,1,28,Cincinnati
365,Daniel Gafford,71,12,Chicago Bulls,F,1998-10-01,2.08,106.1,898310,USA,2019,2,38,Arkansas
366,Treveon Graham,71,12,Atlanta Hawks,G,1993-10-28,1.96,99.3,1645357,USA,2015,Undrafted,Undrafted,VCU
367,Frank Jackson,71,15,New Orleans Pelicans,G,1998-05-04,1.91,93.0,1618520,USA,2017,2,31,Duke
368,Luke Kornet,71,2,Chicago Bulls,C,1995-07-15,2.18,108.9,2250000,USA,2017,Undrafted,Undrafted,Vanderbilt
369,Frank Mason,71,15,Milwaukee Bucks,G,1994-04-13,1.8,86.2,79568,USA,2017,2,34,Kansas
370,Ben McLemore,71,16,Houston Rockets,G,1993-02-11,1.91,85.7,2028594,USA,2013,1,7,Kansas
373,Jerome Robinson,71,1,Washington Wizards,G,1997-02-22,1.93,86.2,3567720,USA,2018,1,13,Boston College
374,JaKarr Sampson,71,14,Indiana Pacers,F,1993-03-20,2.01,101.2,1737145,USA,2014,Undrafted,Undrafted,St. John's
375,Edmond Sumner,71,5,Indiana Pacers,G,1995-12-13,1.93,84.4,2000000,USA,2017,2,52,Xavier
376,Gary Trent Jr,71,2,Portland Trail Blazers,G,1999-01-18,1.96,94.8,1416852,USA,2018,2,37,Duke
377,Moritz Wagner,71,21,Washington Wizards,F,1997-04-26,2.11,108.9,2063520,Germany,2018,1,25,Michigan
378,Admiral Schofield,71,1,Washington Wizards,F,1997-03-30,1.96,109.3,1000000,USA,2019,2,42,Tennessee
379,Bruno Fernando,71,24,Atlanta Hawks,F,1998-08-15,2.06,111.1,1400000,Angola,2019,2,34,Maryland
381,Eric Paschall,71,7,Golden State Warriors,F,1996-11-04,1.98,115.7,898310,USA,2019,2,41,Villanova
382,Carsen Edwards,71,4,Boston Celtics,G,1998-03-12,1.8,90.7,1228026,USA,2019,2,33,Purdue
383,KZ Okpala,71,4,Miami Heat,F,1999-04-28,2.03,97.5,898310,USA,2019,2,32,Stanford
384,Shake Milton,71,18,Philadelphia 76ers,C,1996-09-26,1.96,93.0,1445697,USA,2018,2,54,SMU
385,Chimezie Metu,71,7,San Antonio Spurs,F,1997-03-22,2.06,102.1,1416852,Nigeria,2018,2,49,USC
386,Keita Bates-Diop,70,0,Denver Nuggets,F,1996-01-23,2.03,106.6,1416852,USA,2018,2,48,Ohio State
388,Tony Bradley,70,13,Utah Jazz,F-C,1998-01-08,2.08,112.5,1962360,USA,2017,1,28,North Carolina
389,Hamidou Diallo,70,6,Oklahoma City Thunder,G,1998-07-31,1.96,89.8,1416852,USA,2018,2,45,Kentucky
390,Melvin Frazier,70,35,Orlando Magic,F,1996-08-30,1.96,91.2,1416852,USA,2018,2,35,Tulane
391,Solomon Hill,70,44,Miami Heat,F,1991-03-18,1.98,102.5,13290395,USA,2013,1,23,Arizona
392,Alize Johnson,70,24,Indiana Pacers,F,1996-04-26,2.01,91.2,1416852,USA,2018,2,50,Missouri State
393,Skal Labissiere,70,0,Atlanta Hawks,C-F,1996-03-18,2.08,98.0,2338846,Haiti,2016,1,28,Kentucky
395,Sviatoslav Mykhailiuk,70,19,Detroit Pistons,G,1997-06-10,2.01,93.0,1416852,Ukraine,2018,2,47,Kansas
396,Johnathan Motley,70,15,Los Angeles Clippers,F,1995-05-04,2.03,104.3,79568,USA,2017,Undrafted,Undrafted,Baylor
397,Abdel Nader,70,11,Oklahoma City Thunder,F,1993-09-25,1.96,102.1,1618520,Egypt,2016,2,58,Iowa State
399,Caleb Swanigan,70,50,Portland Trail Blazers,C,1997-04-18,2.06,112.9,2033160,USA,2017,1,26,Purdue
400,Jarred Vanderbilt,70,0,Minnesota Timberwolves,F,1999-04-03,2.06,97.1,1416852,USA,2018,2,41,Kentucky
402,Jordan Poole,70,3,Golden State Warriors,G,1999-06-19,1.93,88.0,1964760,USA,2019,1,28,Michigan
403,Talen Horton-Tucker,70,5,Los Angeles Lakers,G,2000-11-20,1.93,106.1,898310,USA,2019,2,46,Iowa State
406,Naz Reid,70,11,Minnesota Timberwolves,C,1999-08-26,2.06,112.9,898310,USA,2019,Undrafted,Undrafted,LSU
407,Ignas Brazdeikis,70,17,New York Knicks,F,1999-01-08,1.98,98.0,898310,Canada,2019,2,47,Michigan
408,Deonte Burton,70,30,Oklahoma City Thunder,G,1991-06-26,1.93,108.9,1416852,USA,2014,Undrafted,Undrafted,Iowa State
409,Justin James,70,10,Sacramento Kings,G,1997-01-24,2.01,86.2,898310,USA,2019,2,40,Wyoming
411,Devonte Graham,69,0,Charlotte Hornets,G,1995-02-22,1.85,83.9,1416852,USA,2018,2,34,Kansas
413,Khyri Thomas,69,13,Detroit Pistons,G,1996-05-08,1.91,95.3,1416852,USA,2018,2,38,Creighton
414,Theo Pinson,69,0,New York Knicks,G,1995-11-05,1.96,99.8,1445697,USA,2018,Undrafted,Undrafted,North Carolina
415,Gary Clark,69,0,Orlando Magic,F,1994-11-16,1.98,102.1,1427191,USA,2018,Undrafted,Undrafted,Cincinnati
416,Terance Mann,69,14,Los Angeles Clippers,G,1996-10-18,1.96,97.5,1000000,USA,2019,2,48,Florida State
417,Cam Reynolds,69,13,Milwaukee Bucks,G,1995-02-07,2.01,102.1,79568,USA,2018,Undrafted,Undrafted,Tulane
419,Miye Oni,69,24,Utah Jazz,F,1997-08-04,1.96,95.3,898310,USA,2019,2,58,Yale
420,Malcolm Miller,69,13,Toronto Raptors,F,1993-03-06,2.01,93.0,1588231,USA,2015,Undrafted,Undrafted,Holy Cross
423,Jordan McRae,68,0,Detroit Pistons,G,1991-03-28,1.96,81.2,1254933,USA,2014,2,58,Tennessee
424,Brandon Goodwin,68,0,Atlanta Hawks,G,1995-10-02,1.83,81.6,522738,USA,2018,Undrafted,Undrafted,Florida Gulf Coast
425,Michael Frazier,68,21,Houston Rockets,G,1994-03-08,1.91,90.7,79568,USA,2015,2,60,Florida
426,Kostas Antetokounmpo,68,37,Los Angeles Lakers,F,1997-11-20,2.08,90.7,79568,Greece,2018,Undrafted,Undrafted,Dayton
428,Duncan Robinson,67,55,Miami Heat,F,1994-04-22,2.01,97.5,1416852,USA,2018,Undrafted,Undrafted,Michigan
